factor_data_view,factor_model,factor_prompt_template,factor_temperature,mean_input_token_count,mean_output_token_count,mean_schema_completeness,mean_total_duration_seconds,mean_total_token_count,mean_wall_clock_seconds,n_runs
stim_and_mouse_summary,kimi,prompts/stim_paradigm_anova.md,0.75,4025.0,1543.333333,1.0,,5568.333333,38.941726,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_anova.md,0.5,4025.0,1413.666667,1.0,,5438.666667,25.992767,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.5,1073.0,914.666667,1.0,,1987.666667,34.979685,3
summary_only,kimi,prompts/stim_paradigm_anova.md,0.75,947.0,1204.333333,1.0,,2151.333333,67.296077,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.0,1452.666667,1153.666667,1.0,,2606.333333,20.722913,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.5,912.0,550.666667,1.0,,1462.666667,14.22781,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.25,1513.0,1161.333333,1.0,,2674.333333,29.670856,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.5,1247.0,932.333333,1.0,,2179.333333,23.985786,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.75,1179.0,528.0,1.0,,1707.0,12.604319,3
stim_summary,kimi,prompts/stim_paradigm_predictive.md,0.25,1217.0,1417.666667,1.0,,2634.666667,108.730656,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.75,1454.0,1246.0,1.0,,2700.0,70.469423,3
stim_summary,kimi,prompts/stim_paradigm_anova.md,0.75,1161.0,1352.333333,1.0,,2513.333333,14.417463,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.5,1126.0,1178.666667,1.0,,2304.666667,24.864865,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.75,1186.0,1011.333333,1.0,,2197.333333,24.482945,3
stim_summary,kimi,prompts/stim_paradigm_predictive.md,0.75,1217.0,1458.333333,1.0,,2675.333333,27.300543,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_predictive.md,1.0,1029.0,940.333333,1.0,,1969.333333,22.613249,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_anova.md,0.25,4025.0,1655.0,1.0,,5680.0,54.898982,3
summary_only,kimi,prompts/stim_paradigm_basic.md,1.0,895.0,1020.0,1.0,,1915.0,42.534475,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.75,961.0,945.666667,1.0,,1906.666667,26.382071,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,1.0,1247.0,903.666667,1.0,,2150.666667,22.359049,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.25,6164.0,1112.666667,1.0,,7276.666667,23.314492,3
